Commodity,Exporter,Destination,Tons,Year
RUBBER,28,181,2.535812657,2013
RUBBER,28,183,55.15727606,2013
RUBBER,28,184,0.157520951,2013
RUBBER,28,185,225.4479658,2013
RUBBER,28,195,0.796791971,2013
RUBBER,28,196,0.029936537,2013
RUBBER,28,198,5.482590288,2013
RUBBER,28,199,206.4541011,2013
RUBBER,28,200,2.146241657,2013
RUBBER,28,201,0.027489393,2013
RUBBER,28,202,140.6584331,2013
RUBBER,28,203,70.26032126,2013
RUBBER,28,209,0.023252073,2013
RUBBER,28,210,28.8721188,2013
RUBBER,28,211,1.670763825,2013
RUBBER,28,212,0.023527172,2013
RUBBER,28,214,263.7990771,2013
RUBBER,28,216,8.131919725,2013
RUBBER,28,221,0.690334346,2013
RUBBER,28,222,58.3546341,2013
RUBBER,28,223,238.9938006,2013
RUBBER,28,225,49.84135321,2013
RUBBER,28,229,100.2203165,2013
RUBBER,28,230,14.43612359,2013
RUBBER,28,231,594.1592728,2013
RUBBER,28,233,0.239723641,2013
RUBBER,28,234,31.92401116,2013
RUBBER,28,235,0.597603763,2013
RUBBER,28,236,21.54118723,2013
RUBBER,28,237,10.65565048,2013
RUBBER,28,238,36.33039087,2013
RUBBER,28,249,0.588021573,2013
RUBBER,28,250,1.090154323,2013
RUBBER,28,251,0.792484793,2013
RUBBER,28,256,106.689904,2013
RUBBER,28,272,70.77344657,2013
RUBBER,28,273,3.947512795,2013
RUBBER,32,3,0.482549238,2013
RUBBER,32,4,6.434336267,2013
RUBBER,32,9,5.005237157,2013
RUBBER,32,10,1.750754785,2013
RUBBER,32,11,128.2147773,2013
RUBBER,32,12,0.028576281,2013
RUBBER,32,13,1.052655722,2013
RUBBER,32,14,0.057152561,2013
RUBBER,32,16,0.109862168,2013
RUBBER,32,17,0.047627134,2013
RUBBER,32,19,1.624238193,2013
RUBBER,32,20,0.155136656,2013
RUBBER,32,21,938.5634968,2013
RUBBER,32,27,69.60759194,2013
RUBBER,32,28,0.018942107,2013
RUBBER,32,33,952.5415184,2013
RUBBER,32,38,1.842445943,2013
RUBBER,32,40,2.928911909,2013
RUBBER,32,41,4656.250411,2013
RUBBER,32,44,4.00693474,2013
RUBBER,32,48,2.782310634,2013
RUBBER,32,49,0.366453476,2013
RUBBER,32,52,3.669512077,2013
RUBBER,32,53,0.079410179,2013
RUBBER,32,54,1.104281532,2013
RUBBER,32,56,0.522544897,2013
RUBBER,32,57,850.0059259,2013
RUBBER,32,58,0.406328028,2013
RUBBER,32,59,664.6976048,2013
RUBBER,32,60,0.353902536,2013
RUBBER,32,63,1.100983311,2013
RUBBER,32,67,470.2432897,2013
RUBBER,32,68,5696.12186,2013
RUBBER,32,70,0.039616101,2013
RUBBER,32,73,0.033459522,2013
RUBBER,32,74,0.01673219,2013
RUBBER,32,79,5255.701068,2013
RUBBER,32,80,6.233345706,2013
RUBBER,32,84,4.464580787,2013
RUBBER,32,89,0.997083799,2013
RUBBER,32,91,0.028576281,2013
RUBBER,32,95,0.638376107,2013
RUBBER,32,96,0.376363388,2013
RUBBER,32,97,101.9149438,2013
RUBBER,32,98,1.219097026,2013
RUBBER,32,99,0.106427193,2013
RUBBER,32,100,212.0639855,2013
RUBBER,32,101,1.554801053,2013
RUBBER,32,102,41.97265438,2013
RUBBER,32,103,0.281617647,2013
RUBBER,32,104,6.107245835,2013
RUBBER,32,105,16.30736345,2013
RUBBER,32,106,3962.917452,2013
RUBBER,32,108,0.247838924,2013
RUBBER,32,109,0.736003839,2013
RUBBER,32,110,9.650615248,2013
RUBBER,32,112,2.236354566,2013
RUBBER,32,114,7.130168367,2013
RUBBER,32,116,3.913716188,2013
RUBBER,32,117,27.00060527,2013
RUBBER,32,118,2.146790099,2013
RUBBER,32,119,2.09111434,2013
RUBBER,32,121,0.032103162,2013
