exporter,tons,year
9,71505.05963,1987
9,43716.47306,1987
9,91.3751279,1987
9,20.76577033,1987
9,23.50019491,1987
9,133829.3708,1987
9,3270.257153,1987
9,355993.0247,1987
9,6.839744565,1987
9,288952.8228,1987
9,49.10400775,1987
9,15.64182881,1987
9,1048.804291,1987
9,18.93992615,1987
9,17.85321499,1987
9,293.614765,1987
9,49.200702,1987
9,393.6107097,1987
9,12960.55919,1987
9,228009.7484,1987
9,73.83904358,1987
9,43.25554548,1987
9,20250.61966,1987
9,54.14644566,1987
9,7.294933924,1987
9,366.8836204,1987
9,0.679183816,1987
9,14004.87036,1987
9,0.068574619,1987
9,304.6323104,1987
9,20.13276656,1987
9,144.9889015,1987
9,1.08294317,1987
9,57.70197654,1987
9,7.06168467,1987
9,2734.006065,1987
9,2346.989593,1987
9,171.886343,1987
9,26738.44839,1987
9,3873.058351,1987
9,285902.584,1987
9,44.16617296,1987
9,17295.14525,1987
9,1305.361792,1987
9,236478.0652,1987
9,51.76730967,1987
9,35.78833813,1987
9,5510.612631,1987
9,4247.356643,1987
9,95.30541417,1987
9,1376.12548,1987
9,2119.446259,1987
9,650.2664672,1987
9,0.678056646,1987
9,2039.993911,1987
9,0.498771407,1987
9,7.608369707,1987
9,4485.166547,1987
9,0.103671314,1987
9,4.270243837,1987
9,15471.43167,1987
9,3.529263766,1987
9,0.418973427,1987
9,1625.994274,1987
9,172.7142014,1987
9,131.3858298,1987
9,6138.81431,1987
9,25093.73148,1987
9,2365.885618,1987
9,227.8805499,1987
9,848.9520015,1987
9,383597.0769,1987
9,11.44172172,1987
9,121.092399,1987
9,12209.67175,1987
9,51.37357702,1987
9,10158.13819,1987
9,13865.85246,1987
9,13545.71883,1987
9,17377.92015,1987
9,72.57857297,1987
9,74252.30589,1987
9,3377.852147,1987
9,4170.646544,1987
9,30086.22315,1987
9,69.83782972,1987
9,3.242947118,1987
9,10.70713749,1987
9,236.5097082,1987
9,35660.77082,1987
9,1.252473411,1987
9,13104.39465,1987
9,42.50289978,1987
9,16.36158328,1987
9,26.46084869,1987
9,12350.17868,1987
9,67.36522797,1987
9,8590.33803,1987
9,95192.01432,1987
9,144.9168581,1987
9,394.9756799,1987
9,20425.31202,1987
9,690.7571125,1987
9,2599.127028,1987
9,3541.413875,1987
9,6359.444345,1987
9,17506.03425,1987
9,8.694608667,1987
9,14.06937418,1987
9,139.6132893,1987
9,51966.04325,1987
9,7504.770579,1987
9,431.1595674,1987
9,2.922691362,1987
9,1772246.668,1987
9,127203.6217,1987
9,7147.475756,1987
9,0.23672264,1987
9,2801.180702,1987
9,5885.418329,1987
9,0.885676944,1987
9,2.113597035,1987
9,3288.835426,1987
9,83.27717256,1987
9,2.119328154,1987
9,823.7258767,1988
9,9318.067685,1988
9,664.31018,1988
9,13510.00438,1988
9,18961.05881,1988
9,1513.645712,1988
9,55.84697031,1988
9,229493.4321,1988
9,103181.969,1988
9,1792.23103,1988
9,32707.15795,1988
9,410.8026842,1988
9,363468.8037,1988
9,0.866379908,1988
9,3.559452805,1988
9,911.2467784,1988
9,2739.060812,1988
9,129.8693803,1988
9,17.41545258,1988
9,4.883366861,1988
9,338.9012668,1988
9,81.77095093,1988
9,23492.51633,1988
9,33073.28301,1988
9,67695.8471,1988
9,147.1907744,1988
9,12.57886698,1988
9,218.9496978,1988
9,190281.9272,1988
9,6092.414943,1988
9,112187.3315,1988
9,1.517967592,1988
9,308285.699,1988
9,18218.89235,1988
9,78.49162316,1988
9,17846.19792,1988
9,239.2804252,1988
9,6.662878218,1988
9,1088.58416,1988
9,56.22811772,1988
9,1342.74106,1988
9,65958.15965,1988
9,232702.9,1988
9,45.28245683,1988
9,44.70665757,1988
9,84.60889242,1988
9,64.47706373,1988
9,3.118741063,1988
9,293.4377234,1988
9,1.735411127,1988
9,22229.74372,1988
9,1.523686971,1988
9,123.2067831,1988
9,7925.561207,1988
9,105.8412985,1988
9,27.13876986,1988
9,6706.512714,1988
9,114.3050204,1988
9,359.8404068,1988
9,178539.5705,1988
9,427.7247767,1988
9,46743.51552,1988
9,67214.29799,1988
9,187482.0383,1988
9,1108.205237,1988
9,24537.22651,1988
9,1925.477672,1988
9,464889.8094,1988
9,114.5294093,1988
9,271.9868459,1988
9,22337.7583,1988
9,4900.971562,1988
9,367.7839879,1988
9,1786.589736,1988
9,245174.0365,1988
9,4397.176405,1988
9,0.237006981,1988
9,3846.669437,1988
9,4.788325318,1988
9,47.58309126,1988
9,20381.4989,1988
9,2.484478595,1988
9,41.06470551,1988
9,64864.14672,1988
9,132.1544269,1988
9,2.459077365,1988
9,2681.462848,1988
9,119.6113245,1988
9,458.5341753,1988
9,9529.554372,1988
9,38787.18173,1988
9,7925.526524,1988
9,264.8691922,1988
9,1130.867103,1988
9,447969.6326,1988
9,68.80945942,1988
9,45.96475091,1988
9,8173.464084,1988
9,3080.450088,1988
9,116.6724349,1988
9,160.6859567,1988
9,36390.78376,1988
9,2278.430567,1988
9,16903.90818,1988
9,196.5791413,1988
9,52.89553122,1988
9,116679.0455,1988
9,4730.94911,1988
9,160049.4186,1988
9,168842.2601,1988
9,70.19467571,1988
9,0.662674049,1988
9,241.2630211,1988
9,22092.08477,1988
9,3.225616172,1988
9,16058.86975,1988
9,171.2675578,1988
9,68.73406418,1988
9,48.58061374,1988
9,16332.21853,1988
9,407.971335,1988
9,14028.18466,1988
9,131943.2815,1988
9,376.8448349,1988
9,52845.65209,1988
9,22503.59352,1988
9,3549.295965,1988
9,8613.517262,1988
9,3825.737022,1988
9,1495.259338,1988
9,4.138353649,1988
9,148.2427519,1988
9,66606.96394,1988
9,34687.53939,1988
9,1111.343597,1988
9,2031862.41,1988
9,186802.0699,1988
9,74601.39342,1988
9,5.625603375,1988
9,479.6526694,1988
9,28752.92177,1988
9,1.808300066,1988
9,5.907872764,1988
9,84011.96814,1988
9,232.8037965,1988
9,16.51285429,1988
9,0.175073946,1989
9,639.2417983,1989
9,297.9794044,1989
9,598.7550649,1989
9,23046.08505,1989
9,16806.00452,1989
9,9.360108669,1989
9,16.83563394,1989
9,7.798166083,1989
9,217934.3295,1989
9,72206.44006,1989
9,5.648389638,1989
9,846.6378015,1989
9,22527.33373,1989
9,1.676970185,1989
9,43.83730705,1989
9,280463.3984,1989
9,0.080836205,1989
9,0.095133237,1989
9,336.9763439,1989
9,740.5153502,1989
9,100.7302832,1989
9,23.52642404,1989
9,88.45521859,1989
9,29.99544145,1989
9,40716.47898,1989
9,81828.39869,1989
9,42227.16374,1989
9,177.7251837,1989
9,9.316264819,1989
9,5.897851653,1989
9,137970.4884,1989
9,5675.914546,1989
9,39284.60221,1989
9,9.038669329,1989
9,230418.0679,1989
9,19675.08523,1989
9,8.693056892,1989
9,5016.078194,1989
9,4.051531659,1989
9,2.85898403,1989
9,22.31610073,1989
9,74.10672875,1989
9,729.0232974,1989
9,15754.1775,1989
9,243835.3595,1989
9,34.34465235,1989
9,65.49392489,1989
9,8310.282534,1989
9,82.06447049,1989
9,98.8761727,1989
9,392.0423683,1989
9,107.3286327,1989
9,43399.60354,1989
9,0.032198429,1989
9,92.00320879,1989
9,2218.017094,1989
9,239.7965703,1989
9,17.76050341,1989
9,302.7114808,1989
9,5.625844161,1989
9,441.976603,1989
9,1278.412298,1989
9,269.3464066,1989
9,22.27948389,1989
9,17665.29193,1989
