EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
BIOSEV,2013,1.5630720453542457,47417.2315467519,3.296421984934118e-5,0.03296421984934118
BIOSEV,2014,52.792081317392416,65584.10540169712,8.049523736589128e-4,0.8049523736589128
BIOSEV,2015,141.37622415722177,450600.14689581183,3.137509499967183e-4,0.31375094999671826
BIOSEV,2016,8.953852424685358,330891.461788701,2.7059786844554678e-5,0.02705978684455468
BUNGE,2006,20422.963125457027,4409425.092340399,0.004631661202485037,4.631661202485037
BUNGE,2007,2942.089977401448,3040905.6596675296,9.675045222294448e-4,0.9675045222294448
BUNGE,2008,12590.478150717987,4676258.501577798,0.0026924256104468736,2.6924256104468736
BUNGE,2009,34022.805705993385,5751403.833456671,0.005915565432578088,5.915565432578088
BUNGE,2010,13558.510464441737,5969728.320718219,0.002271210637406446,2.271210637406446
BUNGE,2011,9543.00381295924,6804411.028739263,0.0014024731564059247,1.4024731564059247
BUNGE,2012,28112.04834499196,6344749.563736431,0.004430757756880909,4.430757756880909
BUNGE,2013,24084.455892714333,6319068.411332501,0.003811393440451082,3.811393440451082
BUNGE,2014,8976.803809011904,4898531.986691869,0.0018325497992867491,1.8325497992867492
BUNGE,2015,9155.63614213458,6647840.3726808755,0.0013772346549955417,1.3772346549955417
BUNGE,2016,3199.3485479785304,5897105.909695979,5.425285889334605e-4,0.5425285889334605
CARAMURU,2006,259.6864992669578,684565.1895366729,3.7934517155731903e-4,0.379345171557319
CARAMURU,2007,18.78864061828758,668659.3672629046,2.8098971671027575e-5,0.028098971671027574
CARAMURU,2008,74.28851453415632,912566.4620859845,8.140614149280083e-5,0.08140614149280083
CARAMURU,2009,191.90883616267428,421140.5034959479,4.5568838563285035e-4,0.45568838563285036
CARAMURU,2010,29.858686853129566,864693.2123358627,3.453096014535605e-5,0.034530960145356046
CARAMURU,2011,425.2410401559607,877925.9176488818,4.843700722434212e-4,0.48437007224342116
CARAMURU,2012,305.8310504224362,1049489.3109137702,0.00029140940002157333,0.29140940002157334
CARAMURU,2013,160.5909618822957,1073692.8780616624,1.4956880609305197e-4,0.14956880609305198
CARAMURU,2014,175.7569919263635,662718.1806385084,2.652062325452232e-4,0.2652062325452232
CARAMURU,2015,23.88668633298319,561435.4849731784,4.254573672721156e-5,0.042545736727211556
CARAMURU,2016,43.28348908961651,568126.6109858191,7.618634341825769e-5,0.0761863434182577
CARGILL,2006,914.9881238107555,1886920.877633795,4.8491070010214403e-4,0.48491070010214404
CARGILL,2007,420.7356503914959,1066110.9207495048,3.9464528709236686e-4,0.39464528709236685
CARGILL,2008,6033.43910882676,2519819.443597747,0.002394393425352865,2.3943934253528654
CARGILL,2009,21058.527490496326,3417110.1049806373,0.006162671627057698,6.162671627057698
CARGILL,2010,8694.640384333234,3555699.0557052772,0.0024452689184654972,2.4452689184654974
CARGILL,2011,4845.663963295197,3956553.18628841,0.0012247185201725674,1.2247185201725674
CARGILL,2012,16014.67080067961,3856694.909754384,0.00415243392993705,4.152433929937049
CARGILL,2013,13692.758089349152,3311023.6742044124,0.004135505945193615,4.135505945193614
CARGILL,2014,5467.506648787733,4043386.850074051,0.001352209633042557,1.352209633042557
CARGILL,2015,8616.578340189739,4847254.556075733,0.0017776203499338388,1.7776203499338388
CARGILL,2016,4058.875908298121,5450911.891925745,7.446232829979144e-4,0.7446232829979144
CERVEJARIA PETROPOLIS,2011,0,23648.69866896715,0,0
CERVEJARIA PETROPOLIS,2012,14.508262745477937,4934.0582553352,0.002940431992222659,2.940431992222659
CERVEJARIA PETROPOLIS,2013,289.911613437563,230074.52108439335,0.001260077004924943,1.260077004924943
CERVEJARIA PETROPOLIS,2014,162.50768650104507,144274.87042742016,0.0011263755498071802,1.1263755498071801
CERVEJARIA PETROPOLIS,2015,109.92514847574337,196406.39476595394,5.596821254559189e-4,0.5596821254559189
CERVEJARIA PETROPOLIS,2016,88.17895368506565,194378.18103234118,4.5364635689431725e-4,0.45364635689431726
CGG,2013,281.24168188980343,201771.95412666563,0.0013938591371982717,1.3938591371982718
CGG,2014,588.4026256783106,620303.7888190425,9.48571709997989e-4,0.948571709997989
CGG,2015,1307.55649368892,720619.6100317155,0.0018144891916435256,1.8144891916435255
CGG,2016,392.51746589350756,409183.35030254925,9.5927037501228e-4,0.9592703750122801
CHS,2006,1.072330803061217,31857.37527570435,3.366036259361949e-5,0.03366036259361949
CHS,2007,8.153762548521323,78959.8749604011,1.0326463349404351e-4,0.10326463349404351
CHS,2008,13.011788992898682,10347.204000009058,0.001257517392417052,1.2575173924170522
CHS,2009,10.963105708310348,21219.13296253454,5.166613418025752e-4,0.5166613418025753
CHS,2010,1.243982828208352e-4,24817.280000000035,5.012567163719595e-9,5.012567163719595e-6
CHS,2011,29.55397862956063,13928.3839999964,0.002121852659258121,2.121852659258121
CHS,2012,522.8883786492476,88869.85816154101,0.005883753946121755,5.883753946121755
CHS,2013,584.043296949705,320052.18424135103,0.0018248377161809292,1.8248377161809293
