ZDC,YEAR,BIOME,total_soy_tons
Company-specific pledges,2015,MATA ATLANTICA,7692111.642533888
Soy Moratorium,2015,MATA ATLANTICA,0
none,2015,MATA ATLANTICA,15971223.373925015
Company-specific pledges,2015,PAMPA,2561646.936303596
Soy Moratorium,2015,PAMPA,0
none,2015,PAMPA,3082532.486962127
Company-specific pledges,2016,AMAZONIA,0
Soy Moratorium,2016,AMAZONIA,6654543.960321865
none,2016,AMAZONIA,871166.279402674
Company-specific pledges,2016,CERRADO,13868871.822847497
Soy Moratorium,2016,CERRADO,0
none,2016,CERRADO,11748814.914915822
Company-specific pledges,2016,MATA ATLANTICA,7935621.29174579
Soy Moratorium,2016,MATA ATLANTICA,0
none,2016,MATA ATLANTICA,14673781.515601505
Company-specific pledges,2016,PAMPA,2432373.245743677
Soy Moratorium,2016,PAMPA,0
none,2016,PAMPA,2811184.023652295
